Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
cifar100,5000,60,1.0,128,0.0256,2343.75,4.765625,186.1572265625,230.7148282408715,53229.331970214844,9012.297978159042
cifar100,5000,60,1.0,256,0.0512,1171.875,6.71875,131.2255859375,230.0006833273647,52900.31433105469,4492.200846237592
cifar100,5000,60,1.0,512,0.1024,585.9375,9.453125,92.315673828125,228.82372309135616,52360.29624938965,2234.6066708140247
cifar100,5000,60,1.0,1024,0.2048,292.96875,13.28125,64.849853515625,227.3262567770465,51677.22702026367,1109.9914881691723
cifar100,5000,60,1.0,2048,0.4096,146.484375,18.75,45.7763671875,226.93261794184082,51498.4130859375,554.0347117720722
cifar100,5000,60,1.0,4096,0.8192,73.2421875,26.5625,32.4249267578125,227.3262567770465,51677.22702026367,277.49787204229307
cifar100,5000,60,1.0,5000,1.0,60.0,29.375,29.375,227.53777158968575,51773.4375,227.53777158968575
cifar100,5000,60,2.0,1,0.0002,300000.0,0.5938720703125,2969.3603515625,325.2771291824504,105805.21076917648,1626385.645912252
cifar100,5000,60,2.0,2,0.0004,150000.0,0.6591796875,1647.94921875,255.29919518457095,65177.67906188965,638247.9879614273
cifar100,5000,60,2.0,4,0.0008,75000.0,0.75439453125,942.9931640625,206.5994510120805,42683.33315849304,258249.3137651006
cifar100,5000,60,2.0,8,0.0016,37500.0,0.8984375,561.5234375,173.9816737554113,30269.622802734375,108738.54609713206
cifar100,5000,60,2.0,16,0.0032,18750.0,1.11328125,347.900390625,152.44231336813706,23238.658905029297,47638.22292754283
cifar100,5000,60,2.0,32,0.0064,9375.0,1.435546875,224.30419921875,138.9962284893775,19319.95153427124,21718.160701465233
cifar100,5000,60,2.0,64,0.0128,4687.5,1.9140625,149.5361328125,131.0469009655915,17173.290252685547,10238.039137936836
cifar100,5000,60,2.0,128,0.0256,2343.75,2.6171875,102.23388671875,126.7040450175278,16053.915023803711,4949.376758497179
cifar100,5000,60,2.0,256,0.0512,1171.875,3.6328125,70.953369140625,124.36083458979603,15465.617179870605,2428.9225505819536
cifar100,5000,60,2.0,512,0.1024,585.9375,5.078125,49.591064453125,122.92183471849712,15109.777450561523,1200.4085421728234
cifar100,5000,60,2.0,1024,0.2048,292.96875,7.1484375,34.90447998046875,122.35501467705738,14970.749616622925,597.4365951028192
cifar100,5000,60,2.0,2048,0.4096,146.484375,10.0390625,24.509429931640625,121.50350585636062,14763.101935386658,296.6394185946304
cifar100,5000,60,2.0,4096,0.8192,73.2421875,14.0625,17.1661376953125,120.34919476431874,14483.928680419922,146.91063814003752
cifar100,5000,60,2.0,5000,1.0,60.0,15.546875,15.546875,120.42557592113687,14502.3193359375,120.42557592113687
cifar100,5000,60,4.0,1,0.0002,300000.0,0.513916015625,2569.580078125,281.48339442098995,79232.90133476257,1407416.9721049496
cifar100,5000,60,4.0,2,0.0004,150000.0,0.55450439453125,1386.260986328125,214.75862854183583,46121.26853317022,536896.5713545895
cifar100,5000,60,4.0,4,0.0008,75000.0,0.60791015625,759.8876953125,166.48305275730758,27716.606855392456,208103.81594663445
cifar100,5000,60,4.0,8,0.0016,37500.0,0.6817626953125,426.1016845703125,132.0227782505397,17430.013976991177,82514.2364065873
cifar100,5000,60,4.0,16,0.0032,18750.0,0.7879638671875,246.23870849609375,107.89639613939964,11641.632299870253,33717.62379356239
cifar100,5000,60,4.0,32,0.0064,9375.0,0.946044921875,147.81951904296875,91.6004056796493,8390.634320676327,14312.563387445201
cifar100,5000,60,4.0,64,0.0128,4687.5,1.181640625,92.315673828125,80.90140314712536,6545.037031173706,6320.422120869169
cifar100,5000,60,4.0,128,0.0256,2343.75,1.5380859375,60.08148193359375,74.46226526216653,5544.628947973251,2908.68223680338
cifar100,5000,60,4.0,256,0.0512,1171.875,2.06298828125,40.29273986816406,70.62157609433982,4987.407010048628,1379.3276580925744
cifar100,5000,60,4.0,512,0.1024,585.9375,2.8271484375,27.608871459960938,68.43436759808638,4683.2626685500145,668.3043710750622
cifar100,5000,60,4.0,1024,0.2048,292.96875,3.92578125,19.168853759765625,67.19496707674463,4515.163600444794,328.10042517941713
cifar100,5000,60,4.0,2048,0.4096,146.484375,5.478515625,13.375282287597656,66.30687430488162,4396.60158008337,161.88201734590237
cifar100,5000,60,4.0,4096,0.8192,73.2421875,7.63671875,9.322166442871094,65.35629882340086,4271.445795893669,79.78063821215925
cifar100,5000,60,4.0,5000,1.0,60.0,8.3984375,8.3984375,65.05401714332771,4232.025146484375,65.05401714332771
cifar100,5000,60,8.0,1,0.0002,300000.0,0.4468536376953125,2234.2681884765625,244.7518172689635,59903.45205646008,1223759.0863448174
cifar100,5000,60,8.0,2,0.0004,150000.0,0.477294921875,1193.2373046875,184.8555283651245,34171.56636714935,462138.82091281126
cifar100,5000,60,8.0,4,0.0008,75000.0,0.514678955078125,643.3486938476562,140.95063678473858,19867.082010023296,176188.29598092323
cifar100,5000,60,8.0,8,0.0016,37500.0,0.561981201171875,351.2382507324219,108.8271916510156,11843.357642646879,68016.99478188474
cifar100,5000,60,8.0,16,0.0032,18750.0,0.62408447265625,195.02639770507812,85.45628586563605,7302.776793949306,26705.089333011263
cifar100,5000,60,8.0,32,0.0064,9375.0,0.709228515625,110.81695556640625,68.67075574177579,4715.672694146633,10729.805584652468
cifar100,5000,60,8.0,64,0.0128,4687.5,0.83099365234375,64.92137908935547,56.894246066534706,3236.9552354793996,4444.862973948024
cifar100,5000,60,8.0,128,0.0256,2343.75,1.0101318359375,39.458274841308594,48.90279722574825,2391.483576502651,1910.265516630791
cifar100,5000,60,8.0,256,0.0512,1171.875,1.278076171875,24.962425231933594,43.75194684661171,1914.2328528687358,854.5302118478849
cifar100,5000,60,8.0,512,0.1024,585.9375,1.67724609375,16.379356384277344,40.599663678657464,1648.332690820098,396.4810906118893
cifar100,5000,60,8.0,1024,0.2048,292.96875,2.2607421875,11.038780212402344,38.69560914991637,1497.3501674830914,188.94340405232603
cifar100,5000,60,8.0,2048,0.4096,146.484375,3.095703125,7.557868957519531,37.46752077477268,1403.8151130080223,91.47343939153485
cifar100,5000,60,8.0,4096,0.8192,73.2421875,4.248046875,5.185604095458984,36.35548591838795,1321.7213563621044,44.37925527146966
cifar100,5000,60,8.0,5000,1.0,60.0,4.658203125,4.658203125,36.082286252752695,1301.931381225586,36.082286252752695
sun397,8534,60,0.5,1,0.00011717834544176236,512040.0,0.87890625,7500.5859375,628.9186843685371,395538.71154785156,5367192.052401096
sun397,8534,60,0.5,2,0.00023435669088352472,256020.0,1.083984375,4625.361328125,548.4789553893612,300829.1645050049,2340359.702646404
sun397,8534,60,0.5,4,0.00046871338176704945,128010.0,1.38671875,2958.564453125,496.14696211295706,246161.80801391602,1058529.543667994
sun397,8534,60,0.5,8,0.0009374267635340989,64005.0,1.85546875,1979.3212890625,469.41892578368754,220354.12788391113,500752.6390797487
sun397,8534,60,0.5,16,0.0018748535270681978,32002.5,2.5390625,1354.2724609375,454.2190498217212,206314.94522094727,242269.08569866055
sun397,8534,60,0.5,32,0.0037497070541363956,16001.25,3.515625,937.5732421875,444.71266653191446,197769.35577392578,118599.30925572994
sun397,8534,60,0.5,64,0.007499414108272791,8000.625,4.921875,656.30126953125,440.243079057976,193813.96865844727,58703.66307313699
sun397,8534,60,0.5,128,0.014998828216545582,4000.3125,6.875,458.369140625,434.83016283120526,189077.2705078125,28990.942262511762
sun397,8534,60,0.5,256,0.029997656433091165,2000.15625,9.6875,322.94189453125,433.25509367610334,187709.97619628906,14442.964724343226
sun397,8534,60,0.5,512,0.05999531286618233,1000.078125,13.75,229.1845703125,434.83016283120526,189077.2705078125,7247.735565627941
sun397,8534,60,0.5,1024,0.11999062573236466,500.0390625,19.375,161.470947265625,433.25509367610334,187709.97619628906,3610.7411810858066
sun397,8534,60,0.5,2048,0.23998125146472932,250.01953125,27.5,114.59228515625,434.83016283120526,189077.2705078125,1811.9338914069851
sun397,8534,60,0.5,4096,0.47996250292945863,125.009765625,38.75,80.7354736328125,433.25509367610334,187709.97619628906,902.6852952714517
sun397,8534,60,0.5,8192,0.9599250058589173,62.5048828125,55.0,57.296142578125,434.83016283120526,189077.2705078125,452.9834728517463
sun397,8534,60,0.5,8534,1.0,60.0,56.25,56.25,435.71062644833444,189843.75,435.71062644833444
sun397,8534,60,1.0,1,0.00011717834544176236,512040.0,0.65673828125,5604.6044921875,469.9420169309347,220845.49927711487,4010485.1724885968
sun397,8534,60,1.0,2,0.00023435669088352472,256020.0,0.7568359375,3229.4189453125,382.94701840248194,146648.41890335083,1634034.9275233904
sun397,8534,60,1.0,4,0.00046871338176704945,128010.0,0.9033203125,1927.23388671875,323.19432391160933,104454.57100868225,689535.0900654185
sun397,8534,60,1.0,8,0.0009374267635340989,64005.0,1.123046875,1198.01025390625,284.1219813953898,80725.30031204224,303087.12365353206
sun397,8534,60,1.0,16,0.0018748535270681978,32002.5,1.4453125,770.8935546875,258.5554591292875,66850.92544555664,137907.01801308373
sun397,8534,60,1.0,32,0.0037497070541363956,16001.25,1.93359375,515.665283203125,244.59196659255298,59825.23012161255,65229.62009065147
sun397,8534,60,1.0,64,0.007499414108272791,8000.625,2.65625,354.1943359375,237.59150298366959,56449.72229003906,31681.341975978692
sun397,8534,60,1.0,128,0.014998828216545582,4000.3125,3.671875,244.810791015625,232.23883696666647,53934.87739562988,15483.798708386967
sun397,8534,60,1.0,256,0.029997656433091165,2000.15625,5.15625,171.888427734375,230.60351760179694,53177.982330322266,7687.3844500536525
sun397,8534,60,1.0,512,0.05999531286618233,1000.078125,7.265625,121.10321044921875,229.76821104148917,52793.4308052063,3829.7693613829465
sun397,8534,60,1.0,1024,0.11999062573236466,500.0390625,10.234375,85.29312133789062,228.8565212563288,52375.30732154846,1907.2866722670994
sun397,8534,60,1.0,2048,0.23998125146472932,250.01953125,14.453125,60.22605895996094,228.5328980789005,52227.285504341125,952.2948008815122
sun397,8534,60,1.0,4096,0.47996250292945863,125.009765625,20.3125,42.321014404296875,227.1095249108606,51578.73630523682,473.1818080051964
sun397,8534,60,1.0,8192,0.9599250058589173,62.5048828125,28.59375,29.78748321533203,226.0622721537232,51104.150891304016,235.49993048826585
sun397,8534,60,1.0,8534,1.0,60.0,29.375,29.375,227.53777158968575,51773.4375,227.53777158968575
sun397,8534,60,2.0,1,0.00011717834544176236,512040.0,0.5572509765625,4755.579833984375,398.7519158531072,159003.09039652348,3402948.849890417
sun397,8534,60,2.0,2,0.00023435669088352472,256020.0,0.606689453125,2588.743896484375,306.9752712032799,94233.81713032722,1309863.4822243953
sun397,8534,60,2.0,4,0.00046871338176704945,128010.0,0.677490234375,1445.4254150390625,242.395742933707,58755.696192383766,517151.3175490639
sun397,8534,60,2.0,8,0.0009374267635340989,64005.0,0.782470703125,834.7006225585938,197.95890225483137,39187.726981937885,211172.65898034137
sun397,8534,60,2.0,16,0.0018748535270681978,32002.5,0.93994140625,501.34124755859375,168.14839825131025,28273.88383448124,89686.1519172926
sun397,8534,60,2.0,32,0.0037497070541363956,16001.25,1.17431640625,313.1755065917969,148.54638375128533,22066.028125584126,39615.46371667091
sun397,8534,60,2.0,64,0.007499414108272791,8000.625,1.5283203125,203.79196166992188,136.70246403288343,18687.56367266178,18228.4191883848
sun397,8534,60,2.0,128,0.014998828216545582,4000.3125,2.05078125,136.72943115234375,129.7078610718084,16824.129223823547,8647.866299896976
sun397,8534,60,2.0,256,0.029997656433091165,2000.15625,2.8125,93.75732421875,125.78373687370743,15821.548461914062,4193.118790938356
sun397,8534,60,2.0,512,0.05999531286618233,1000.078125,3.92578125,65.43479919433594,124.14895274015946,15412.962466478348,2069.310864618205
sun397,8534,60,2.0,1024,0.11999062573236466,500.0390625,5.48828125,45.73925018310547,122.72649326913815,15061.792150139809,1022.8006773035399
sun397,8534,60,2.0,2048,0.23998125146472932,250.01953125,7.734375,32.22908020019531,122.29598329627649,14956.307530403137,509.6064069582146
