Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
sun397,8534,40,4.0,4,0.00046871338176704945,85340.0,0.54534912109375,1163.5023498535156,159.31289764273671,25380.599355325103,339894.0671207788
sun397,8534,40,4.0,8,0.0009374267635340989,42670.0,0.59417724609375,633.8385772705078,122.7375183569508,15064.498412422836,130930.24770727727
sun397,8534,40,4.0,16,0.0018748535270681978,21335.0,0.660400390625,352.2410583496094,96.46141871820991,9304.805301129818,51450.10920882521
sun397,8534,40,4.0,32,0.0037497070541363956,10667.5,0.753173828125,200.86204528808594,77.79049699664986,6051.361422985792,20745.75316779406
sun397,8534,40,4.0,64,0.007499414108272791,5333.75,0.8905029296875,118.74300003051758,65.03567925594652,4229.639576282352,8672.101355785118
sun397,8534,40,4.0,128,0.014998828216545582,2666.875,1.09619140625,73.08513641357422,56.60929197973386,3204.61193844676,3774.2476387113184
sun397,8534,40,4.0,256,0.029997656433091165,1333.4375,1.40625,46.878662109375,51.35099554684742,2636.9247436523438,1711.833578112484
sun397,8534,40,4.0,512,0.05999531286618233,666.71875,1.86767578125,31.130361557006836,48.22506499387127,2325.6568936631083,803.8138762845653
sun397,8534,40,4.0,1024,0.11999062573236466,333.359375,2.5439453125,21.201200485229492,46.447688680394975,2157.3877837508917,387.09431171727607
sun397,8534,40,4.0,2048,0.23998125146472932,166.6796875,3.505859375,14.608888626098633,45.26221786352885,2048.6683659255505,188.60730822624768
sun397,8534,40,4.0,4096,0.47996250292945863,83.33984375,4.86328125,10.132627487182617,44.3972148998785,1971.1126908659935,92.50142381727615
sun397,8534,40,4.0,8192,0.9599250058589173,41.669921875,6.6796875,6.958551406860352,43.11888164157902,1859.2379540205002,44.91901073354924
sun397,8534,40,4.0,8534,1.0,40.0,6.85546875,6.85546875,43.35779135621489,1879.8980712890625,43.35779135621489
sun397,8534,40,8.0,1,0.00011717834544176236,341360.0,0.4152679443359375,3543.8966369628906,242.62453885546051,58866.66685482487,2070557.8145925
sun397,8534,40,8.0,2,0.00023435669088352472,170680.0,0.4395294189453125,1875.4720306396484,181.58470550960288,32973.0052750092,774821.9384094755
sun397,8534,40,8.0,4,0.00046871338176704945,85340.0,0.46844482421875,999.4270324707031,136.84683709099096,18727.05682180822,291962.7269336292
sun397,8534,40,8.0,8,0.0009374267635340989,42670.0,0.5035400390625,537.1513366699219,104.01484606521255,10819.088201969862,110957.8370400655
sun397,8534,40,8.0,16,0.0018748535270681978,21335.0,0.547637939453125,292.09638595581055,79.99076519862648,6398.522517061792,42665.074387817396
sun397,8534,40,8.0,32,0.0037497070541363956,10667.5,0.60455322265625,161.22678756713867,62.44042728945032,3898.806960089132,16652.081452755283
sun397,8534,40,8.0,64,0.007499414108272791,5333.75,0.68145751953125,90.86810111999512,49.76856469449232,2476.910031749867,6636.32704848121
sun397,8534,40,8.0,128,0.014998828216545582,2666.875,0.7891845703125,52.61641502380371,40.754907867369646,1660.962515277788,2717.2061229697856
sun397,8534,40,8.0,256,0.029997656433091165,1333.4375,0.9466552734375,31.55764102935791,34.568313408489736,1194.9682919075713,1152.3671352658257
sun397,8534,40,8.0,512,0.05999531286618233,666.71875,1.180419921875,19.67520236968994,30.479501862139557,929.0000337641686,508.03138455370896
sun397,8534,40,8.0,1024,0.11999062573236466,333.359375,1.529541015625,12.74717092514038,27.926561380295063,779.8928305273876,232.73952619085748
sun397,8534,40,8.0,2048,0.23998125146472932,166.6796875,2.0361328125,8.484549522399902,26.287388369208262,691.0267872735858,109.5393419642692
sun397,8534,40,8.0,4096,0.47996250292945863,83.33984375,2.7587890625,5.747926235198975,25.185167086778467,634.2926411889493,52.473197245744004
sun397,8534,40,8.0,8192,0.9599250058589173,41.669921875,3.7060546875,3.8607752323150635,23.923414594998885,572.3297658842057,24.922170428920957
sun397,8534,40,8.0,8534,1.0,40.0,3.8037109375,3.8037109375,24.056780246788747,578.7286758422852,24.056780246788747
imagenet397,8471,40,0.5,1,0.00011804981702278361,338840.0,0.791015625,6700.693359375,460.4499167379387,212014.1258239746,3900471.2446870785
imagenet397,8471,40,0.5,2,0.00023609963404556722,169420.0,0.95703125,4053.505859375,393.9203868539926,155173.27117919922,1668449.7985200859
imagenet397,8471,40,0.5,4,0.00047219926809113444,84710.0,1.201171875,2543.78173828125,349.60086270843493,122220.76320648193,740367.2270007881
imagenet397,8471,40,0.5,8,0.0009443985361822689,42355.0,1.5625,1654.4921875,321.5676627379532,103405.76171875,340499.9588816502
imagenet397,8471,40,0.5,16,0.0018887970723645378,21177.5,2.109375,1116.7822265625,306.96661115862577,94228.50036621094,162519.63519529495
imagenet397,8471,40,0.5,32,0.0037775941447290755,10588.75,2.890625,765.20263671875,297.4500880326067,88476.55487060547,78740.6154913816
